Benchmark,is_OPT,BEST,tot_time,solving_time
mc2024_track1_103,0,,,
mc2024_track1_104,0,,,
mc2024_track1_105,1,3212,,520.239
mc2024_track1_106,0,,,
mc2024_track1_107,0,,,
mc2024_track1_108,0,,,
mc2024_track1_109,0,,,
mc2024_track1_110,0,,,
mc2024_track1_111,0,,,
mc2024_track1_112,0,,,
mc2024_track1_113,0,,,
mc2024_track1_114,0,,,
mc2024_track1_115,0,,,
mc2024_track1_116,0,,,
mc2024_track1_117,1,540,,2.49783
mc2024_track1_118,0,,,0.001257
mc2024_track1_119,0,,,
mc2024_track1_120,0,,,
mc2024_track1_121,1,1056,,4.84256
mc2024_track1_122,0,,,
mc2024_track1_123,0,,,
mc2024_track1_124,0,,,
mc2024_track1_125,0,,,
mc2024_track1_126,0,,,
mc2024_track1_127,0,,,
mc2024_track1_128,0,,,
mc2024_track1_129,0,,,
mc2024_track1_130,0,,,
mc2024_track1_131,0,,,
mc2024_track1_132,0,,,
mc2024_track1_134,0,,,
mc2024_track1_135,0,,,
mc2024_track1_136,0,,,
mc2024_track1_137,0,,,
mc2024_track1_138,0,,,
mc2024_track1_139,0,,,
mc2024_track1_140,0,,,
mc2024_track1_141,0,,,
mc2024_track1_142,0,,,
mc2024_track1_143,0,,,
mc2024_track1_144,0,,,
mc2024_track1_145,0,,,
mc2024_track1_146,0,,,
mc2024_track1_147,0,,,
mc2024_track1_148,0,,,
mc2024_track1_149,0,,,
mc2024_track1_150,0,,,
mc2024_track1_151,0,,,
mc2024_track1_152,0,,,
mc2024_track1_153,0,,,
mc2024_track1_154,1,3304,,23.6464
mc2024_track1_155,0,,,
mc2024_track1_156,0,,,
mc2024_track1_157,0,,,
mc2024_track1_158,0,,,
mc2024_track1_159,1,15016,,241.047
mc2024_track1_160,0,,,
mc2024_track1_161,0,,,
mc2024_track1_162,0,,,
mc2024_track1_163,1,9536,,7.57975
mc2024_track1_164,1,9396,,8.23896
mc2024_track1_165,0,,,
mc2024_track1_166,0,,,
mc2024_track1_167,0,,,
mc2024_track1_168,0,,,
mc2024_track1_169,0,,,
mc2024_track1_170,0,,,
mc2024_track1_171,1,3072,,0.721816
mc2024_track1_172,0,,,
mc2024_track1_173,1,3066,,0.033078
mc2024_track1_174,1,384,,0.002664
mc2024_track1_175,1,762,,0.006014
mc2024_track1_176,1,1536,,0.121992
mc2024_track1_177,1,378,,0.003158
mc2024_track1_178,0,,,
mc2024_track1_179,1,1584,,0.008129
mc2024_track1_180,1,1140,,0.013112
mc2024_track1_181,1,1218,,0.008709
mc2024_track1_182,0,,,
mc2024_track1_183,1,720,,0.003831
mc2024_track1_184,1,1128,,0.007216
mc2024_track1_185,1,810,,1.55517
mc2024_track1_186,0,,,
mc2024_track1_187,0,,,
mc2024_track1_188,0,,,
mc2024_track1_189,0,,,
mc2024_track1_190,0,,,
mc2024_track1_191,0,,,
mc2024_track1_192,0,,,
mc2024_track1_193,0,,,
mc2024_track1_195,0,,,
mc2024_track1_196,0,,,
mc2024_track1_197,0,,,
mc2024_track1_198,0,,,
mc2024_track1_199,0,,,
sw100-1,0,,,
sw100-2,0,,,
sw100-3,0,,,
sw100-4,0,,,
sw100-5,0,,,
sw100-6,0,,,
sw100-7,0,,,
sw100-8,0,,,
sw100-9,0,,,
sw100-10,0,,,
sw100-11,0,,,
sw100-12,0,,,
sw100-13,0,,,
sw100-14,0,,,
sw100-15,0,,,
sw100-16,0,,,
sw100-17,0,,,
sw100-18,0,,,
sw100-19,0,,,
sw100-20,0,,,
